Accelerometer_Gx,Accelerometer_Gy,Accelerometer_Gz,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyroscope_Z,Gyroscope_X,Gyroscope_Y
0,0,9.988609313964844,0,0,0,-0.13400000056281244,0.36499999984061876,0.04500000098543482
0,0,9.998186111450195,0,0,0.029399998486042023,-0.07300000130214508,-0.06099999926066736,-0.014999999216793838
0,0,9.998186111450195,0,0,0.029399998486042023,-0.25599999908414717,0.12100000279794933,-0.014999999216793838
0,0,10.007762908935547,0,0,0.03920000046491623,-0.19499999315337319,-0.06099999926066736,0.10600000024610218
0,0,9.979032516479492,0,0,0.04899999871850014,0.2920000052085803,0,0.04500000098543482
0,0,9.959878921508789,0,0,0.03920000046491623,0.3529999977991411,0.12100000279794933,0.04500000098543482
0,0,9.959878921508789,0,0,-0.019600000232458115,0.3529999977991411,0.12100000279794933,0.04500000098543482
0,0,9.950302124023438,0,0,0.04899999871850014,0.23099998593759313,-0.06099999926066736,-0.07600000181251451
0,0,10.017339706420898,0,0,0.009800000116229057,-0.13400000056281244,0,0.04500000098543482
0,0,9.988609313964844,0,0,0.03920000046491623,0.048000001495804245,0.05999999686717535,0.10600000024610218
0,0,9.940725326538086,0,0,-0.03920000046491623,0.048000001495804245,0.18199999538851008,0.10600000024610218
-0.009576806798577309,0,10.007762908935547,0,0,0.03920000046491623,-0.012000000373951061,-0.1830000044521087,-0.014999999216793838
0,0,9.959878921508789,0,0,0.019600000232458115,0.048000001495804245,0.05999999686717535,-0.07600000181251451
-0.009576806798577309,0,9.988609313964844,0,0,0.019600000232458115,-0.07300000130214508,0.05999999686717535,0.04500000098543482
0,0,9.979032516479492,0,0,0.03920000046491623,-0.13400000056281244,-0.24399999704266945,0.10600000024610218
0,0,9.998186111450195,0,0,0.058799996972084045,-0.012000000373951061,0.05999999686717535,0.04500000098543482
0,0,9.988609313964844,0,0,0.058799996972084045,0.10900000075647161,0.18199999538851008,0.04500000098543482
0,0,9.998186111450195,0,0,0.04899999871850014,0.048000001495804245,0.05999999686717535,-0.014999999216793838
0,0,9.998186111450195,0,0,0.04899999871850014,-0.19499999315337319,0,0.04500000098543482
0,0,10.007762908935547,0,0,0.029399998486042023,-0.012000000373951061,0.05999999686717535,-0.014999999216793838
0,0,9.988609313964844,0,0,0.029399998486042023,-0.07300000130214508,0.12100000279794933,0.04500000098543482
0,0,9.979032516479492,0,0,0.019600000232458115,0.16999999334703236,0,0.04500000098543482
0,0,9.988609313964844,0,0,0.03920000046491623,-0.07300000130214508,0.12100000279794933,-0.07600000181251451
0,0,9.979032516479492,0,0,0.029399998486042023,-0.012000000373951061,0.05999999686717535,0.10600000024610218
0,0,9.96945571899414,0,0,0.019600000232458115,-0.07300000130214508,0,-0.07600000181251451
0,0,9.979032516479492,0,0,0.029399998486042023,-0.012000000373951061,0.05999999686717535,0.04500000098543482
0,0,9.979032516479492,0,0,0.029399998486042023,0.048000001495804245,0,0.04500000098543482
0,0,9.988609313964844,0,0,0.03920000046491623,0.048000001495804245,-0.06099999926066736,0.04500000098543482
0,0,9.96945571899414,0,0,0.019600000232458115,-0.012000000373951061,0,-0.13700000107318186
0,0,9.979032516479492,0,0,0.029399998486042023,-0.13400000056281244,0,0.04500000098543482
0,0,9.988609313964844,0,0,0.03920000046491623,-0.012000000373951061,0,-0.014999999216793838
0,0,9.988609313964844,0,0,0.03920000046491623,-0.012000000373951061,0.05999999686717535,-0.07600000181251451
0,0,9.96945571899414,0,0,0.019600000232458115,-0.07300000130214508,0,0.04500000098543482
0,0,9.979032516479492,0,0,0.029399998486042023,0.10900000075647161,-0.06099999926066736,0.04500000098543482
0,0,9.979032516479492,0,0,0.029399998486042023,0.048000001495804245,0.05999999686717535,0.04500000098543482
0,0,9.979032516479492,0,0,0.029399998486042023,-0.31699999167470794,0,0.16699999283666295
0,0,9.979032516479492,0,0,0.029399998486042023,0.10900000075647161,0.05999999686717535,0.04500000098543482
0,0,9.979032516479492,0,0,0.029399998486042023,-0.07300000130214508,0,-0.014999999216793838
0,0,9.979032516479492,0,0,0.029399998486042023,0.048000001495804245,-0.12199999852133472,-0.014999999216793838
0,0,9.979032516479492,0,0,0.029399998486042023,0.048000001495804245,0.05999999686717535,0.04500000098543482
0,0,9.979032516479492,0,0,0.029399998486042023,0.048000001495804245,-0.06099999926066736,-0.014999999216793838
0,0,9.979032516479492,0,0,0,-0.012000000373951061,0.12100000279794933,0.04500000098543482
0,0,9.979032516479492,0,0,0,0.16999999334703236,0.05999999686717535,-0.014999999216793838
0,0,9.998186111450195,0,0,0.019600000232458115,0.048000001495804245,0.05999999686717535,-0.014999999216793838
0,0,9.988609313964844,0,0,0.009800000116229057,0.10900000075647161,-0.06099999926066736,-0.014999999216793838
0,0,9.988609313964844,0,0,0.009800000116229057,-0.012000000373951061,0,-0.07600000181251451
0,0,9.998186111450195,0,0,0.009800000116229057,-0.012000000373951061,0,-0.07600000181251451
